"","age","model","seed","lambda_c0","y","mu_0","x","K_0","z","gamma_0","alpha","lambda_a0","beta","d_0","d0_col","d0_ana","loglik","df","conv","bic","bic_weights"
"14",1,"14",199,0.0241061930890558,0.247820135736167,2.30179033185904,0.164907102178436,Inf,0,55.6913046378126,0.262087380491304,0.0438095680240995,0.424647649704355,NA,NA,NA,-3657.02208878545,8,0,7384.00923633402,0.00161576083273946
"15",1,"15",224,0.00718992900820016,0.177831116535808,2.37185036823643,0.169564770391416,Inf,0,74.3719304194439,0.305153195866002,0.0586664542467163,0.383227864488941,0.254378035632708,NA,NA,-3651.41281956161,9,0,7381.53633023174,0.00556367577672964
"16",1,"16",228,0.0374018106348507,1.18757931984588e-06,2.33826314877835,0.16757152638306,Inf,0,73.3651165303891,0.303024801262584,0.0571661018606279,0.387182179222637,0.0274071330882079,NA,NA,-3650.90350003098,9,0,7380.51769117048,0.00925883778289664
"17",1,"17",241,0.0545635366546051,0.0989016391297598,2.46268101257671,0.175306220918375,Inf,0,72.7098562865871,0.301598145247735,0.0547495768746644,0.393276390010833,39757.907682896,NA,NA,-3648.2075868443,9,0,7375.12586479712,0.137207134964864
"18",1,"18",260,0.0478115048786918,0.115784562120367,2.4153184985054,0.172747139883728,Inf,0,71.6845078894093,0.299701168273316,0.0544843491611546,0.394206444064811,37521.5954255363,NA,NA,-3648.40691992055,9,0,7375.52453094962,0.112410645272248
"19",1,"19",279,0.0376819542403839,0,2.34832404045261,0.167993318625593,Inf,0,73.3758956374931,0.30291044547622,0.0568794006402983,0.387932866773389,0.0273061767147077,NA,NA,-3650.90391280771,8,0,7371.77288437855,0.733613209611244
"20",1,"20",292,0.0257850098476214,0.240900847459204,2.29323743246694,0.164313979498579,1.24641341075102e-05,3.26242976593518,384.290859895684,0.271169989045501,0.0442402086218307,0.423939457516152,0.00111399787655944,NA,NA,-3656.81477704027,11,0,7409.83150987984,3.99155043113865e-09
"21",1,"21",315,0.0249114903218623,0.246172392830332,2.26004454287405,0.162063169745178,4.18878607534406e-10,5.60464593733452,56.0659391904296,0.262928677282496,1.06633838935655,1.72046472782036,293.828986807785,NA,NA,-3655.76202286333,11,0,7407.72600152596,1.14379172590151e-08
"22",1,"22",321,3.14301201637048,0.338365052218137,2.87059897551244,0.194364235485455,1.24910606875603e-07,4.10955105452602,79.3339089220531,0.313796811044941,0.06310785618658,0.370596154919396,3222199.9406832,NA,NA,-3653.88903492845,11,0,7403.9800256562,7.44346713812608e-08
"23",1,"23",332,0.0289560273600711,0.228128789771665,2.1830388482404,0.158683797493704,5.12789504187629e-05,2.85380986836883,18.8645606337635,2.63878089644174e-07,1.06897618310936,1.63414523965196,NA,0.00152726339813509,297.087420992269,-3672.76015228758,12,0,7450.46789271985,5.98498690836846e-18
"24",1,"24",349,0.0237464685105529,0.245917164067314,2.28135602657435,0.166520579296669,Inf,0,332.18399334745,0.267099056976227,0.720301131580597,0,0.0014838569406727,NA,NA,-3666.61601732479,8,0,7403.1970934127,1.10099881587451e-07
"25",1,"25",365,0.0226046273168819,0.255890353566622,2.29065029673105,0.163947823132494,Inf,0,56.4547326112106,0.263927160205487,1.07940013850149,1.62828321532297,302.250670792345,NA,NA,-3656.27208496704,9,0,7391.25486104261,4.31528677046467e-05
"26",1,"26",380,3.52459330152773,0.364494133806909,2.95407010516733,0.198913398925742,Inf,0,78.9696890074232,0.313958188465751,0.685974390113205,0,2723867.61102256,NA,NA,-3661.89080540721,8,0,7393.74666957755,1.24142450402424e-05
"27",1,"27",405,0.0246863023038009,0.245002148149542,2.18320164610728,0.158883569850139,Inf,0,18.8583148593354,8.61374739801389e-09,1.07879047057612,1.56774142170875,NA,0.603851003023853,302.544517537731,-3673.12090824657,10,0,7433.69813994706,2.6216140193563e-14
"28",1,"28",415,0.201134644579768,0,3.29399507470955,0.210442005481383,Inf,0,54.8769697478399,0.256962426747905,1.16725119751012,1.19966781596403,400.713897708034,NA,NA,-3663.02208897448,8,0,7396.00923671209,4.00506992403467e-06
