"island","archipelago","ka0","ka1","ka2","ka3","ka4","ka5","ka6","ka7","ka8","ka9","ka10","ka11","ka12","ka13","ka14","ka15","ka16","ka17","ka18","ka19","ka20","ka21","ka22","ka23","ka24","ka25","ka26","ka27","ka28","ka29","ka30","ka31","ka32","ka33","ka34","ka35"
"Chirinkotan","Kuriles",7.60801600000145,7.60801600000145,7.60801600000145,7.60801600000145,7.60801600000145,7.60801600000145,7.60801600000145,7.60801600000145,7.60801600000145,10.5341759999991,10.5341759999991,10.5341759999991,10.5341759999991,10.5341759999991,11.1194079999994,14.045568000002,16.3864960000032,16.3864960000032,16.3864960000032,16.3864960000032,16.9717280000029,16.9717280000029,16.9717280000029,16.9717280000029,16.9717280000029,16.3864960000032,16.3864960000032,16.3864960000032,16.3864960000032,16.3864960000032,16.3864960000032,11.1194079999994,11.1194079999994,11.1194079999994,10.5341759999991,10.5341759999991
"Ekarma","Kuriles",39.2105440000055,39.2105440000055,39.2105440000055,39.795776000004,39.795776000004,39.795776000004,39.795776000004,39.795776000004,40.9662400000023,44.4776320000055,48.5742559999988,50.3299519999982,53.2561119999953,55.0118079999939,57.9379679999944,60.2788959999935,63.7902879999962,64.3755199999959,64.3755199999959,66.1312159999962,67.3016799999973,69.0573759999994,68.4721439999994,67.3016799999973,67.3016799999973,67.3016799999973,67.3016799999973,66.1312159999962,66.1312159999962,66.1312159999962,63.7902879999962,57.352735999995,56.767503999995,56.1822719999942,55.0118079999939,53.2561119999953
"Iturup","Kuriles",3423.0219680001,3423.0219680001,3423.0219680001,3437.06753600009,3437.06753600009,3451.69833600009,3470.42576000009,3502.61352000009,3631.94979200009,3842.0480800001,4100.72062400009,4388.0695360001,4576.5142400001,4757.3509280001,5066.35342400011,5393.49811200008,5873.9735840001,6080.56048000011,6044.27609600011,6166.00435200011,6331.62500800009,6391.31867200009,6367.90939200009,6331.62500800009,6302.3634080001,6276.61320000009,6245.01067200011,6221.0161600001,6194.6807200001,6166.00435200011,5850.5643040001,5001.39267200012,4918.87496000012,4822.89691200008,4734.52688000008,4677.75937600009
"Ketoy","Kuriles",83.6881760000005,83.6881760000005,83.6881760000005,83.6881760000005,83.6881760000005,83.6881760000005,84.2734080000005,85.4438719999996,88.3700320000019,99.4894399999961,105.341760000002,114.120240000001,122.313488000001,132.262432000014,165.62065600001,189.029936000005,203.075504000007,214.780144000012,213.609680000011,221.217696000008,230.581408000002,233.507568000004,232.922336000003,230.581408000002,228.825712000003,225.314320000004,224.143856000004,222.973392000006,222.388160000007,221.217696000008,202.490272000007,161.524032000013,151.575088000022,133.432896000013,131.677200000012,128.751040000011
"Kharimkotan","Kuriles",80.1767839999962,80.1767839999962,80.1767839999962,80.7620159999947,80.7620159999947,80.7620159999947,81.3472479999945,81.3472479999945,83.688175999996,86.614336,93.0518879999968,96.5632799999989,98.9042079999989,103.586064000001,107.682688000002,113.535007999999,120.557791999999,122.898719999999,122.313487999998,124.069184,126.995344,128.751040000002,128.751040000002,126.995344,125.824880000001,125.239648000001,124.654416,124.069184,124.069184,124.069184,120.557791999999,106.512224000002,105.926992000001,104.756528000002,103.586064000001,102.415600000001
"Kunashir","Kuriles",1632.21204800003,1632.21204800003,1632.21204800003,1644.50192000003,1644.50192000003,1661.47364800004,1696.00233600004,1780.27574400004,7347.00252800002,10342.2199040001,12302.747104,13949.5899520001,14962.0413120001,16250.1369440001,17676.3473280001,18972.050976,20742.9630079999,21231.046496,21174.864224,21400.178544,21709.1810399999,21796.3806079999,21754.8291359999,21709.1810399999,21662.3624799999,21612.0325279999,21562.2878079999,21513.7135519999,21471.5768479999,21400.178544,20649.3258880001,17338.6684640001,16928.4208320001,16538.6563200001,16159.4259840001,15877.3441600001
"Makanrushi","Kuriles",59.693664000004,59.693664000004,59.693664000004,60.2788960000034,60.2788960000034,61.4493600000037,62.0345920000043,62.0345920000043,63.7902880000037,69.057376000007,73.7392320000067,82.5177120000043,86.0291040000081,111.779312000008,134.603360000008,159.183104000008,183.762848000005,189.615168000004,189.615168000004,195.467488000005,203.660736000007,207.172128000006,204.245968000008,203.660736000007,203.075504000008,200.734576000007,200.149344000008,199.564112000009,196.637952000005,195.467488000005,180.251456000001,129.336272000009,126.995344000009,115.875936000008,108.853152000007,104.756528000007
"Matua","Kuriles",61.4493600000011,61.4493600000011,61.4493600000011,61.4493600000011,61.4493600000011,63.2050560000009,63.2050560000009,64.3755200000008,75.4949279999994,87.7847999999967,111.194080000002,126.995343999997,141.040911999999,171.472975999999,186.689008000003,203.660736000001,222.973392,227.655247999998,227.655247999998,231.166639999999,235.263263999999,236.433727999999,235.848495999999,235.263263999999,234.678032,234.0928,232.922336000002,232.922336000002,231.751871999999,231.166639999999,222.38816,182.007151999999,179.666223999998,175.569599999997,170.887743999998,167.376351999995
"Onekotan","Kuriles",470.526528000004,470.526528000004,470.526528000004,474.623152000005,474.623152000005,475.793616000006,478.134544000009,482.231168000006,497.447200000007,519.686016,548.362383999996,581.135375999988,600.448031999995,625.613007999996,667.164480000002,728.61384000001,803.523536000004,840.978384000002,835.711296000003,863.217200000008,891.308336000004,906.524368000005,902.427744000008,891.308336000004,886.041248000003,879.603696000003,875.507072000004,872.580912000004,867.313824000006,863.217200000008,800.597376000002,654.289375999998,643.169968,630.294863999998,619.760687999998,610.982207999993
"Paramushir","Kuriles",2538.73641600001,2538.73641600001,2538.73641600001,2551.61152000002,2551.61152000002,2566.24232000002,2578.53219200002,2618.91320000002,2793.897568,8786.67324800003,10789.922384,12516.356784,13392.449088,14402.5595200001,16083.3458239999,17851.916928,18879.58432,19296.854736,19236.57584,19534.458928,19866.285472,20089.8440959999,20014.9343999999,19866.285472,19809.5179679999,19749.239072,19681.35216,19636.8745280001,19587.129808,19534.458928,18804.674624,15776.684256,15122.39488,14681.715184,14303.0700800001,13939.055776
