"curve","year","ind","values","area_km","area_km_e","archipelago"
-17,-77000,"AP0000041",7312006548.69338,7312.00654869338,225180.596337799,"Seychelles_Inner"
-15,-78000,"AP0000042",6709915993.19491,6709.91599319491,225180.596337799,"Seychelles_Inner"
-14,-79000,"AP0000043",6461679813.38035,6461.67981338035,225180.596337799,"Seychelles_Inner"
-13,-80000,"AP0000044",6231960456.53158,6231.96045653158,225180.596337799,"Seychelles_Inner"
-12,-81000,"AP0000045",6004134386.20876,6004.13438620876,225180.596337799,"Seychelles_Inner"
-12,-82000,"AP0000045",6004134386.20876,6004.13438620876,225180.596337799,"Seychelles_Inner"
-13,-83000,"AP0000044",6231960456.53158,6231.96045653158,225180.596337799,"Seychelles_Inner"
-15,-84000,"AP0000042",6709915993.19491,6709.91599319491,225180.596337799,"Seychelles_Inner"
-19,-85000,"AP0000046",8054235577.82928,8054.23557782928,225180.596337799,"Seychelles_Inner"
-26,-86000,"AP0000047",11151961800.3246,11151.9618003246,225180.596337799,"Seychelles_Inner"
-34,-87000,"AP0000048",16479747992.9387,16479.7479929387,225180.596337799,"Seychelles_Inner"
-43,-88000,"AP0000049",25048452758.9603,25048.4527589603,225180.596337799,"Seychelles_Inner"
-49,-89000,"AP0000050",29728663589.6159,29728.6635896159,225180.596337799,"Seychelles_Inner"
-52,-90000,"AP0000008",33160344530.4525,33160.3445304525,225180.596337799,"Seychelles_Inner"
-54,-91000,"AP0000051",36553498771.5869,36553.4987715869,225180.596337799,"Seychelles_Inner"
-55,-92000,"AP0000052",37002672566.4766,37002.6725664766,225180.596337799,"Seychelles_Inner"
-55,-93000,"AP0000052",37002672566.4766,37002.6725664766,225180.596337799,"Seychelles_Inner"
-56,-94000,"AP0000053",38937673347.6623,38937.6733476623,225180.596337799,"Seychelles_Inner"
-54,-95000,"AP0000051",36553498771.5869,36553.4987715869,225180.596337799,"Seychelles_Inner"
-46,-96000,"AP0000054",27202832341.8223,27202.8323418223,225180.596337799,"Seychelles_Inner"
-35,-97000,"AP0000055",17270047781.071,17270.047781071,225180.596337799,"Seychelles_Inner"
-24,-98000,"AP0000006",10253924109.4894,10253.9241094894,225180.596337799,"Seychelles_Inner"
-16,-99000,"AP0000056",6986907073.21669,6986.90707321669,225180.596337799,"Seychelles_Inner"
